AUTO_OFICIAL,AUTO_PUBLICO,AUTO_PARTICULAR,CAM_PAS_OFICIAL,CAM_PAS_PUBLICO,CAM_PAS_PARTICULAR,CYC_CARGA_OFICIAL,CYC_CARGA_PUBLICO,CYC_CARGA_PARTICULAR,MOTO_OFICIAL,MOTO_DE_ALQUILER,MOTO_PARTICULAR
452,4741,368872,5,2497,619,557,3599,112480,299,0,89105
0,36,6870,0,2,18,6,20,5689,2,0,6199
1,168,13988,0,7,10,18,4,13383,9,0,3776
2,21,2700,0,0,6,7,0,1795,0,0,2122
24,243,41830,0,46,90,35,180,17078,24,0,12852
7,192,10518,0,13,21,2,19,5434,4,0,3772
3,109,9415,0,1,36,3,7,6595,4,0,10017
3,50,1819,0,1,4,2,0,1838,0,0,984
0,43,3513,0,0,6,9,1,3016,0,0,2215
2,45,4293,0,0,4,4,0,3323,0,0,2891
12,80,13960,0,6,15,23,538,6088,3,0,5249
0,918,222793,0,1149,1573,0,268,79210,0,0,3937
0,1764,570883,0,615,905,0,115,149751,0,0,11257
0,120,56464,0,235,211,0,15,21861,0,0,1399
0,11133,916536,0,7137,1202,0,459,238436,0,0,43885
0,1335,56750,0,230,82,0,28,20636,0,0,2275
0,5,3318,0,73,4,0,56,1467,0,0,20
0,0,375,0,0,0,0,0,126,0,0,4
38,137,31493,7,5,114,257,47,20791,4,0,280
16,138,24037,1,5,224,70,68,14932,2,0,248
1499,10907,219707,39,433,660,2416,749,77569,67,7,7423
144,14868,151780,2,594,546,250,1478,54756,1,158,13628
5,239,6541,0,1,42,30,27,3952,0,0,172
1,58,6458,0,9,37,15,11,1747,5,10,13028
339,916,75090,23,431,324,838,285,23570,229,12,67123
28,1368,70671,0,165,131,37,284,21415,40,170,35915
10,191,10356,3,27,28,60,47,7289,2,26,21818
9,56,3553,1,2,7,16,1,1561,1,0,5144
15,27,4997,1,1,6,31,4,4335,3,9,5153
8,21,1043,0,5,4,8,6,535,4,0,1547
4,15,1413,1,0,9,16,1,1072,8,0,2096
8,185,8786,2,14,16,47,39,7388,3,8,16811
